ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Text_ID
454118,aka,Ama hyɛ ataadeɛ,"ama\\thyɛ\\tataadeɛ","ama.SBJ\\twear\\tdress",Ama is wearing a dress.,,,
454119,aka,Kofi redidi,"kofi\\tre-didi","kofi.SBJ\\tPROG-eat",Kofi is eating.,,,
454120,aka,Nkwadaa pɛ sika,"n-kwadaa\\tpɛ\\tsika","PL-child.SBJ\\tlike\\tmoney",Children like money.,,,
454121,aka,Wɔfa maa me sika,"wɔfa\\tma-a\\tme\\tsika","uncle.SBJ\\tgive-PAST\\tme\\tmoney",Uncle gave me money.,,,
454122,aka,Kwame too Esi Nkra,"kwame\\tto-o\\tesi\\tnkra","kwame.SBJ\\tthrow-PAST\\tesi\\tmessage",Kwame sent Esi a message,,,
454123,aka,Saa abofra yi bɛfe,"saa\\ta-bofra\\tyi\\tbɛ́-fe","\\tSG-child.SBJ\\tthis.DEF\\tFUT-throw.out",This child will throw up,,,
454124,aka,Ɔbo dan no yɛ fɛ,"ɔbo\\tdan\\tno\\tyɛ\\tfɛ","stone\\tbuilding.SBJ\\tDEF\\tis\\tbeautiful",The/that cave is beautiful.,,,
454125,aka,Akura yi awe me sika,"a-kura\\tyi\\ta-we\\tme\\tsika","SG-mouse.SBJ\\tthis.DEF\\tPFV-chew\\t1SG\\tmoney",This mouse has eaten my money,,,
454126,aka,Mpa kɛseɛ nkɔ dan no mu,"mpa\\tkɛseɛ\\tn-kɔ\\tdan\\tnó\\tmu","bed.SBJ\\tbig\\tNEG-go\\troom\\tDEF\\tinside.LOC",The big bed cannot enter the room,,,
454127,aka,Ntoma nsia bɛso,"ntoma\\tnsia\\tbɛ́-so","cloth.SBJ\\tsix\\tFUT-enough",Six cloths will be enough.,,,
454128,aka,Nnipa nyinaa pɛ Yesu asɛm,"n-nipa\\tnyinaa\\tpɛ\\tyesu\\tasɛm","PL-person.SBJ\\tall\\tlike\\tJesus\\tmatter",Everybody likes Jesus,,,
454129,aka,Abɔfra a ɔbɛkyeaa me no kɔ,"a-bɔfra\\ta\\tɔ-bɛ́-kyea-a\\tme\\tnò\\tkɔ","SG-child.SBJ\\tREL\\tshe--greet-\\tme.1SG\\t3SG.ANIM\\tgo",The child who came to greet me has gone.,,,
454130,aka,Kofi papa bɛba ɔkyena,"kofi\\tpapa\\tbɛ-ba\\tɔkyena","kofi\\tfather.SBJ\\tFUT-come\\ttomorrow",Kofi's father will come tomorrow.,,,
454131,aka,Ne papa bɛba ɔkyena,"ne\\tpapa\\tbɛ-ba\\tɔkyena","his/her.3SG\\tfather.SBJ\\tFUT-come\\ttomorrow",His/her father will come tomorrow.,,,
454132,aka,Aboa kɛseɛ no aduane asa,"aboa\\tkɛseɛ\\tnó\\taduane\\ta-sa","animal\\tbig\\tDEF\\tfood.SBJ\\tPRF-finish",The big animal's food is finished.,,,
454133,aka,Papa no fie no yɛ fɛ,"papa\\tno\\tfie\\tno\\tyɛ\\tfɛ","man\\tDEF\\thouse.SBJ\\tDEF\\tis\\tbeautiful",The man's house is beautiful.,,,
454134,aka,Papa kɛseɛ no baa ha,"papa\\tkɛseɛ\\tno\\tba-a\\tha","man.SBJ\\tbig\\tDEF\\tcome-PAST\\there.DXS.APPROX",The big man came here.,,,
454135,aka,Papa  kɛseɛ bi baa ha,"papa\\t\\tkɛseɛ\\tbi\\tba-a\\tha","man.SBJ\\t\\tbig\\tINDEF\\tcome-PAST\\there.DXS.APPROX",Some big man came here,,,
454136,aka,Papa kɛseɛ yi baa ha,"papa\\tkɛseɛ\\tyi\\tba-a\\tha","man.SBJ\\tbig\\tDEF\\tcome-PAST\\there.DXS.APPROX",This big man came here.,,,
454137,aka,Papa akɛseɛ nsia yi baa ha,"papa\\ta-kɛseɛ\\tnsia\\tyi\\tba-a\\tha\\t","man.SBJ\\tPL-big\\tsix\\tthis.DEF\\tcome-PAST\\there\\t",These big men came here.,,,
454138,aka,Papa akɛseɛ nsia yi nyinaa baa ha,"papa\\ta-kɛseɛ\\tnsia\\tyi\\tnyinaa\\tba-a\\tha","man.SBJ\\tPL-big\\tsix\\tDEF\\tall\\tcome-PAST\\there.DXS.APPROX",All these big men came here,,,
454139,aka,Kofi mmoa akɛseɛ no awu,"kofi\\tm-moa\\ta-kɛseɛ\\tnó\\ta-wu","kofi\\tPL-animal.SBJ\\tPL-big\\tDEF\\tPRF-die",Kofi's big animals have died.,,,
454140,aka,Yɛn mmoa akɛseɛ yi awu,"yɛn\\tm-moa\\ta-kɛseɛ\\tyi\\ta-wu\\t","our\\tPL-animal.SBJ\\tPL-big\\tDEF\\tPRF-die\\t",These big animals of ours have died.,,,
454141,aka,W’aboa kɛseɛ bi awu,"w’-a-boa\\tkɛseɛ\\tbi\\ta-wu","you-SG-animal.SBJ\\tbig\\tINDEF\\tPRF-die",Some big animal of yours has died.,,,
454142,aka,Me mmoa akɛseɛ a wɔbaa ha no nyinaa awu,"me\\tm-moa\\ta-kɛseɛ\\ta\\twɔ-ba-a\\tha\\tno\\tnyinaa\\ta-wu","3SG\\tPL-animal.SBJ\\tPL-big\\tREL\\t3PL-come-PAST\\there.DXS.APPROX\\t\\tall\\tPRF-die","All of those my big animals which came here have died,",,,
454143,aka,Abaayewa a ɔbɛkyeaa me yi kɔ,"a-baayewa\\ta\\tɔ-bɛ-kyea-a\\tme\\tyi\\tkɔ","SG-girl.SBJ\\tREL\\tshe-VEN-greet-PAST\\tme.1SG\\t\\tgo",This girl who came to greet me has gone.,,,
454144,aka,Abaayewa no a ɔbɛkyeaa me nnora no kɔ,"a-baayewa\\tno\\ta\\tɔ-bɛ-kyea-a\\tme\\tnnora\\tno\\tkɔ","SG-girl.SBJ\\tDEF\\tREL\\tshe-VEN-greet-PAST\\tme.1SG\\tyesterday\\t\\tgo",That girl who came to greet me yesterday has gone.,,,
454145,aka,Abaayewa yi a ɔbɛkyeaa me yi kɔ,"a-baayewa\\tyi\\ta\\tɔ-bɛ-kyea-a\\tme\\tyi\\tkɔ","SG-girl.SBJ\\t\\tREL\\tshe-VEN-greet-PAST\\tme.1SG\\t\\tgo",This girl who came to greet me has gone.,,,
454146,aka,Abaayewa yi a ɔbɛkyeaa me no kɔ,"a-baayewa\\tyi\\ta\\tɔ-bɛ-kyea-a\\tme\\tno\\tkɔ","SG-girl.SBJ\\tDEF\\tREL\\tshe-VEN-greet-PAST\\tme.1SG\\t\\tgo",That girl who came to greet me has gone.,,,
454147,aka,Abaayewa no a  ɔbɛkyeaa me yi  kɔ,"a-baayewa\\tno\\ta\\t\\tɔ-bɛ-kyea-a\\tme\\tyi\\tkɔ\\t","SG-girl.SBJ\\tDEF\\tREL\\t\\tshe-VEN-greet-PAST\\tme.1SG\\t\\tgo\\t",The girl who came to greet me has gone.,,,
454148,aka,Abaayewa yi a ɔbɛkyeaa me kɔ,"a-baayewa\\tyi\\ta\\tɔ-bɛ-kyea-a\\tme\\tkɔ","SG-girl.SBJ\\t\\tREL\\tshe-VEN-greet-PAST\\tme.1SG\\tgo",This girl who came to greet me has gone.,,,
454149,aka,Abaayewa no a ɔbɛkyeaa me kɔ,"a-baayewa\\tno\\ta\\tɔ-bɛ-kyea-a\\tme\\tkɔ","SG-girl.SBJ\\tDEF\\tREL\\t3SG-come-greet-PAST\\tme.1SG\\tgo",That girl who came to greet me has gone,,,
453157,aka,ɔbaa kɔkɔɔ kɛsi nimdzifoɔ na otina hɔ no,"ɔbaa\\tkɔkɔɔ\\tkɛsi\\tnimdzifoɔ\\tna\\tɔ-tina\\thɔ\\tno","woman.SBJ\\tred\\tbig\\tintelligent\\tFOC\\t3SG-sit\\tthere.LOC\\t","The beautiful, big, intelligent lady that is seated there",,,
453158,aka,ɔbaa kɛsi kɔkɔɔ ɔkwadzofo no,"ɔbaa\\tkɛsi\\tkɔkɔɔ\\tɔkwadzofo\\tno","woman.SBJ\\tbig\\tred\\tlazy\\tDEF",the fat fair lazy woman,,,
453159,aka,bɛɛma tuntuu kitikiti papa no,"bɛɛma\\ttuntuu\\tkitikiti\\tpapa\\tno","good\\tblack\\tlittle\\tman.SBJ\\tDEF",The good little black man,,,
453160,aka,bɛɛma kitikiti tuntuu papa no,"bɛɛma\\tkitikiti\\ttuntuu\\tpapa\\tno","good\\tlittle\\tblack\\tman.SBJ\\tDEF",The good little black man,,,
